positive_prob,confidence,negative_prob,sentiment
0.0344094,0.923535,0.965591,0
0.0571431,0.873015,0.942857,0
0.455669,0.113373,0.544331,1
0.447727,0.00505077,0.552273,0
0.161388,0.641361,0.838612,0
0.385993,0.142237,0.614007,0
0.219121,0.513064,0.780879,0
0.927409,0.838687,0.072591,2
0.296383,0.341372,0.703617,0
0.315286,0.299363,0.684714,0
0.603961,0.119913,0.396039,2
0.0101716,0.977397,0.989828,0
0.523314,0.533723,0.476686,1
0.228548,0.492115,0.771452,0
0.0401398,0.9108,0.95986,0
0.322767,0.282739,0.677233,0
0.196984,0.562258,0.803016,0
0.815264,0.589476,0.184736,2
0.518599,0.628028,0.481401,1
0.792833,0.539629,0.207167,2
0.0144982,0.967782,0.985502,0
0.259518,0.423292,0.740482,0
0.171755,0.618322,0.828245,0
0.368156,0.181876,0.631844,0
0.0661669,0.852962,0.933833,0
0.395163,0.121859,0.604837,0
0.0311987,0.930669,0.968801,0
0.0743421,0.834795,0.925658,0
0.836754,0.63723,0.163246,2
0.471043,0.420867,0.528957,1
0.26447,0.412288,0.73553,0
0.481087,0.621745,0.518913,1
0.6364,0.192001,0.3636,2
1,1,0,1
0.102243,0.772794,0.897757,0
0.184678,0.589605,0.815322,0
0.0706163,0.843075,0.929384,0
0.0510799,0.886489,0.94892,0
0.362355,0.194767,0.637645,0
0.228168,0.49296,0.771832,0
0.514938,0.701233,0.485062,1
0.833303,0.629562,0.166697,2
0.0103441,0.977013,0.989656,0
0.496091,0.921812,0.503909,1
0.712992,0.362205,0.287008,2
0.278312,0.381529,0.721688,0
0.675178,0.278172,0.324823,2
0.0169779,0.962271,0.983022,0
0.111916,0.751298,0.888084,0
0.121224,0.730613,0.878776,0
0.118146,0.737454,0.881854,0
positive_prob,confidence,negative_prob,sentiment
0.0305119,0.932196,0.969488,0
0.00355032,0.99211,0.99645,0
0.0147227,0.967283,0.985277,0
0.241878,0.462494,0.758122,0
0.852103,0.671339,0.147897,2
0.43766,0.0274217,0.56234,0
0.0421317,0.906374,0.957868,0
0.818753,0.597229,0.181247,2
0.0187797,0.958267,0.98122,0
0.622066,0.160147,0.377934,2
0.644137,0.209194,0.355863,2
0.146432,0.674596,0.853568,0
0.147154,0.672991,0.852846,0
0.373929,0.169047,0.626071,0
0.793027,0.54006,0.206973,2
0.656979,0.237732,0.343021,2
0.231573,0.485393,0.768427,0
0.751927,0.448726,0.248073,2
0.647909,0.217575,0.352091,2
0.740067,0.42237,0.259933,2
0.265403,0.410216,0.734597,0
0.530741,0.385175,0.469259,1
0.217081,0.517597,0.782919,0
0.488787,0.775734,0.511213,1
0.696362,0.325248,0.303638,2
0.487646,0.75292,0.512354,1
0.80851,0.574467,0.19149,2
0.0198364,0.955919,0.980164,0
0.770928,0.49095,0.229072,2
0.0550847,0.87759,0.944915,0
0.183403,0.592438,0.816597,0
0.0731158,0.83752,0.926884,0
0.924387,0.831971,0.075613,2
0.856142,0.680314,0.143859,2
0.70416,0.342578,0.29584,2
0.809161,0.575913,0.190839,2
0.778388,0.507528,0.221612,2
0.836073,0.635717,0.163927,2
0.35084,0.220356,0.64916,0
0.014899,0.966891,0.985101,0
0.776735,0.503856,0.223265,2
0.455285,0.105701,0.544715,1
0.865356,0.700791,0.134644,2
0.770396,0.489768,0.229604,2
0.786169,0.524821,0.213831,2
0.669216,0.264925,0.330784,2
0.520102,0.597968,0.479898,1
0.000822161,0.998173,0.999178,0
0.168081,0.626487,0.831919,0
0.924387,0.831971,0.075613,2
0.237968,0.471181,0.762032,0
0.56555,0.0345547,0.43445,2
0.189526,0.57883,0.810474,0
0.546565,0.0686931,0.453435,1
0.0532951,0.881567,0.946705,0
0.295809,0.342647,0.704191,0
0.448457,0.00342939,0.551543,0
0.147081,0.673153,0.852919,0
0.130723,0.709505,0.869277,0
0.0114205,0.974621,0.98858,0
0.0114205,0.974621,0.98858,0
0.0146615,0.967419,0.985339,0
0.273404,0.392436,0.726596,0
0.441833,0.0181491,0.558167,0
0.168369,0.625846,0.831631,0
0.180999,0.59778,0.819001,0
0.685104,0.300231,0.314896,2
0.29569,0.34291,0.70431,0
0.452924,0.0584781,0.547076,1
0.435145,0.033011,0.564855,0
0.178598,0.603116,0.821402,0
0.100453,0.776772,0.899547,0
0.0201856,0.955143,0.979814,0
0.0694694,0.845624,0.930531,0
0.919244,0.820541,0.0807564,2
0.00934143,0.979241,0.990659,0
0.778467,0.507703,0.221533,2
0.0116062,0.974208,0.988394,0
0.00550283,0.987771,0.994497,0
0.171533,0.618815,0.828467,0
0.00443293,0.990149,0.995567,0
0.182376,0.59472,0.817624,0
0.147566,0.672077,0.852435,0
0.773555,0.49679,0.226445,2
0.041168,0.908515,0.958832,0
0.446576,0.00760953,0.553424,0
0.120014,0.733303,0.879986,0
0.787705,0.528233,0.212295,2
0.139424,0.69017,0.860576,0
0.10946,0.756755,0.89054,0
0.969259,0.931687,0.0307409,2
0.578352,0.0630044,0.421648,2
0.618561,0.152359,0.381439,2
0.281306,0.374875,0.718694,0
0.92426,0.831689,0.07574,2
0.433032,0.0377064,0.566968,0
0.839743,0.643873,0.160257,2
0.950783,0.890628,0.0492174,2
0.467407,0.348142,0.532593,1
0.74438,0.431956,0.25562,2
0.807149,0.571442,0.192851,2
0.0963886,0.785803,0.903611,0
0.0602585,0.866092,0.939741,0
0.196439,0.563469,0.803561,0
0.0137515,0.969441,0.986248,0
0.0475529,0.894327,0.952447,0
0.0457504,0.898332,0.95425,0
0.969817,0.932928,0.0301826,2
0.137138,0.695248,0.862862,0
0.0871897,0.806245,0.91281,0
0.356511,0.207754,0.643489,0
0.729039,0.397865,0.270961,2
0.177427,0.605717,0.822573,0
0.854835,0.67741,0.145165,2
0.213172,0.526283,0.786828,0
0.1763,0.608223,0.8237,0
0.872312,0.716249,0.127688,2
0.771824,0.492942,0.228176,2
0.295493,0.343348,0.704507,0
0.286762,0.362752,0.713238,0
0.0839181,0.813515,0.916082,0
0.00628733,0.986028,0.993713,0
0.299008,0.335539,0.700992,0
0.740433,0.423185,0.259567,2
0.372424,0.172391,0.627576,0
0.0441093,0.901979,0.955891,0
0.0637016,0.858441,0.936298,0
0.104535,0.767701,0.895465,0
0.263151,0.41522,0.736849,0
0.786153,0.524785,0.213847,2
0.370926,0.175721,0.629074,0
0.847818,0.661817,0.152182,2
0.561844,0.0263192,0.438156,2
0.191704,0.573991,0.808296,0
0.781962,0.51547,0.218038,2
0.850288,0.667306,0.149712,2
0.492525,0.850492,0.507475,1
0.0581131,0.87086,0.941887,0
0.529209,0.415828,0.470791,1
0.328508,0.269982,0.671492,0
0.309525,0.312167,0.690475,0
0.169311,0.623752,0.830689,0
0.00489877,0.989114,0.995101,0
0.161079,0.642046,0.838921,0
0.922928,0.828729,0.077072,2
0.1337,0.702889,0.8663,0
0.621347,0.158549,0.378653,2
0.373048,0.171005,0.626952,0
0.148334,0.67037,0.851666,0
0.0829931,0.815571,0.917007,0
0.408311,0.0926412,0.591689,0
0.184934,0.589036,0.815066,0
0.0402395,0.910579,0.95976,0
0.872312,0.716249,0.127688,2
0.458089,0.161774,0.541911,1
0.0576292,0.871935,0.942371,0
0.873697,0.719326,0.126303,2
0.00897987,0.980045,0.99102,0
0.49525,0.905006,0.50475,1
0.272902,0.393551,0.727098,0
0.651574,0.225721,0.348426,2
