医护人员,11
发国难财,45
词条,10086
疫情,92
新型,61
肺炎,59
感染,44
冠状病毒,43
防控,43
武汉,37
病例,36
视频,33
工作,28
中国,25
没有,22
医院,21
新增,20
病毒,19
抗击,18
真的,17
一线,16
患者,15
大家,14
情况,14
肖战,46
医生,14
加油,13
不是,12
发现,11
湖北,11
知道,11
杨紫,10
街道,10
社区,10
防疫,10
孩子,10
现在,10
不能,10
隔离,9
一起,9
聚集,9
行动,9
检查,9
医用,9
词条,10086
疫情,66
李文亮确诊,100
病毒,49
武汉,49
口罩,38
肺炎,37
双黄连,29
上海,22
病例,22
大家,21
药物,21
微博,20
工作,20
中国,19
真的,19
上班,19
没有,18
现在,15
抗击,15
发现,14
不是,13
可抑制,13
今天,12
口服液,12
中医,11
出现,11
一线,11
每天,11
研究,11
2020,10
医用,10
行动,10
